epoch,step,test_mae,test_mae_Temperature,train_mae,val_mae,val_mae_Temperature
0,49,,,13.282670974731445,,
0,99,,,5.391403675079346,,
0,149,,,4.884570598602295,,
0,199,,,4.450011730194092,,
0,249,,,4.233994007110596,,
0,299,,,3.989351987838745,,
0,349,,,3.9717280864715576,,
0,399,,,3.8244800567626953,,
0,449,,,4.295499801635742,,
0,499,,,3.89632511138916,,
0,514,,,,18.11978530883789,18.11978530883789
1,549,,,4.2736358642578125,,
1,599,,,3.9409029483795166,,
1,649,,,4.0765581130981445,,
1,699,,,3.907146453857422,,
1,749,,,3.660902500152588,,
1,799,,,4.364375114440918,,
1,849,,,4.055367469787598,,
1,899,,,4.205745697021484,,
1,949,,,3.6625707149505615,,
1,999,,,3.6170403957366943,,
1,1029,,,,18.06037139892578,18.06037139892578
2,1049,,,3.8369154930114746,,
2,1099,,,4.0341010093688965,,
2,1149,,,3.262465476989746,,
2,1199,,,3.3408000469207764,,
2,1249,,,3.705120801925659,,
2,1299,,,4.232588291168213,,
2,1349,,,3.6602516174316406,,
2,1399,,,3.4348535537719727,,
2,1449,,,3.8483333587646484,,
2,1499,,,3.611924886703491,,
2,1544,,,,35.93000030517578,35.93000030517578
3,1549,,,3.7238879203796387,,
3,1599,,,3.6474390029907227,,
3,1649,,,3.6902213096618652,,
3,1699,,,3.3329973220825195,,
3,1749,,,3.9234228134155273,,
3,1799,,,3.2971229553222656,,
3,1849,,,3.6184139251708984,,
3,1899,,,3.495727300643921,,
3,1949,,,3.6626248359680176,,
3,1999,,,3.428009033203125,,
3,2049,,,3.8985815048217773,,
3,2059,,,,33.048377990722656,33.048377990722656
4,2099,,,3.61798095703125,,
4,2149,,,3.7611923217773438,,
4,2199,,,3.7020859718322754,,
4,2249,,,3.3019113540649414,,
4,2299,,,3.4363350868225098,,
4,2349,,,3.3669347763061523,,
4,2399,,,3.4783213138580322,,
4,2449,,,3.878671646118164,,
4,2499,,,3.2223782539367676,,
4,2549,,,3.2362303733825684,,
4,2574,,,,7.222535610198975,7.222535610198975
5,2599,,,3.087398052215576,,
5,2649,,,3.5562796592712402,,
5,2699,,,2.956845760345459,,
5,2749,,,3.1685779094696045,,
5,2799,,,3.0381197929382324,,
5,2849,,,3.3810529708862305,,
5,2899,,,3.631167411804199,,
5,2949,,,3.257812023162842,,
5,2999,,,3.047318935394287,,
5,3049,,,3.6883535385131836,,
5,3089,,,,45.10171127319336,45.10171127319336
6,3099,,,3.1447863578796387,,
6,3149,,,3.6191296577453613,,
6,3199,,,3.121894598007202,,
6,3249,,,3.1084988117218018,,
6,3299,,,3.3125410079956055,,
6,3349,,,3.5773842334747314,,
6,3399,,,3.2118239402770996,,
6,3449,,,3.210879325866699,,
6,3499,,,3.0891318321228027,,
6,3549,,,3.4413490295410156,,
6,3599,,,3.0913960933685303,,
6,3604,,,,19.77398681640625,19.77398681640625
7,3649,,,3.37947940826416,,
7,3699,,,3.219923496246338,,
7,3749,,,3.2062857151031494,,
7,3799,,,3.5205912590026855,,
7,3849,,,3.0878958702087402,,
