epoch,step,train_mae,val_mae,val_mae_Temperature
0,49,5.440254211425781,,
0,99,4.957053184509277,,
0,149,5.148628234863281,,
0,199,4.726647853851318,,
0,249,4.480081081390381,,
0,299,4.378885269165039,,
0,349,4.282453536987305,,
0,399,3.798308849334717,,
0,449,4.881881237030029,,
0,499,4.23294734954834,,
0,526,,4.288044452667236,4.288044452667236
1,549,4.357824325561523,,
1,599,4.633939743041992,,
1,649,4.643282890319824,,
1,699,4.410057544708252,,
1,749,4.25013542175293,,
1,799,4.419020652770996,,
1,849,4.358401298522949,,
1,899,4.662310600280762,,
