epoch,step,test_mae,test_mae_Temperature,train_mae,val_mae,val_mae_Temperature
0,49,,,14.183198928833008,,
0,99,,,8.387121200561523,,
0,149,,,5.5695295333862305,,
0,199,,,5.020627021789551,,
0,249,,,4.902822971343994,,
0,299,,,4.947266578674316,,
0,349,,,4.938087463378906,,
0,399,,,4.455860137939453,,
0,449,,,5.499179840087891,,
0,499,,,5.067244052886963,,
0,526,,,,4.952424049377441,4.952424049377441
1,549,,,5.116772174835205,,
1,599,,,5.332888603210449,,
1,649,,,5.404581546783447,,
1,699,,,5.0140581130981445,,
1,749,,,4.950240135192871,,
1,799,,,5.027063369750977,,
1,849,,,4.605816841125488,,
1,899,,,5.213191509246826,,
1,949,,,4.453176498413086,,
1,999,,,4.928804397583008,,
1,1049,,,4.427903652191162,,
1,1053,,,,4.513453483581543,4.513453483581543
2,1099,,,5.040526390075684,,
2,1149,,,4.741016864776611,,
2,1199,,,4.6203203201293945,,
2,1249,,,4.462466239929199,,
2,1299,,,4.381363391876221,,
2,1349,,,4.227783679962158,,
2,1399,,,4.654845237731934,,
2,1449,,,4.6660614013671875,,
2,1499,,,4.736908912658691,,
2,1549,,,4.302132606506348,,
2,1580,,,,4.262558937072754,4.262558937072754
3,1599,,,4.978312015533447,,
3,1649,,,4.258803367614746,,
3,1699,,,4.151455879211426,,
3,1749,,,4.622859954833984,,
3,1799,,,4.200108528137207,,
3,1849,,,4.713754653930664,,
3,1899,,,4.522356986999512,,
3,1949,,,4.133750915527344,,
3,1999,,,4.247190475463867,,
3,2049,,,4.403962135314941,,
3,2099,,,4.0808563232421875,,
3,2107,,,,4.242079734802246,4.242079734802246
4,2149,,,4.464106559753418,,
4,2199,,,4.384889602661133,,
4,2249,,,4.172130584716797,,
4,2299,,,4.408218860626221,,
4,2349,,,4.572512626647949,,
4,2399,,,4.431706428527832,,
4,2449,,,4.290808200836182,,
4,2499,,,4.5443806648254395,,
4,2549,,,4.518095016479492,,
4,2599,,,4.25568962097168,,
4,2634,,,,4.19270658493042,4.19270658493042
5,2649,,,4.05647611618042,,
5,2699,,,3.9911062717437744,,
5,2749,,,4.124935150146484,,
5,2799,,,4.150608062744141,,
5,2849,,,4.431680679321289,,
5,2899,,,4.15294885635376,,
5,2949,,,3.915830135345459,,
5,2999,,,3.9602341651916504,,
5,3049,,,4.30888557434082,,
5,3099,,,4.177938461303711,,
5,3149,,,4.307883262634277,,
5,3161,,,,4.164610385894775,4.164610385894775
6,3199,,,3.81357479095459,,
6,3249,,,4.243408679962158,,
6,3299,,,4.49629020690918,,
6,3349,,,4.180550575256348,,
6,3399,,,4.0116729736328125,,
6,3449,,,4.842092037200928,,
6,3499,,,4.261629104614258,,
6,3549,,,3.9606659412384033,,
6,3599,,,4.486274719238281,,
6,3649,,,4.249593734741211,,
6,3688,,,,4.183128356933594,4.183128356933594
7,3699,,,4.242173671722412,,
7,3749,,,4.095306396484375,,
7,3799,,,4.309500694274902,,
7,3849,,,4.244659423828125,,
7,3899,,,4.1821136474609375,,
7,3949,,,4.067438125610352,,
7,3999,,,4.39090633392334,,
7,4049,,,3.8334436416625977,,
7,4099,,,4.406680107116699,,
7,4149,,,4.23909330368042,,
7,4199,,,4.595200538635254,,
7,4215,,,,4.099693298339844,4.099693298339844
8,4249,,,4.203985214233398,,
8,4299,,,4.183865070343018,,
