axis,target,n,spearman,pearson
pca_1,Temperature,1686,0.16278357446993633,0.04561561097426237
pca_1,Elevation,490,-0.08651534998399504,0.006302384272130978
pca_1,Depth_m,1674,-0.7293830361200874,-0.2017258893770509
pca_1,Latitude,1686,-0.016248677287977523,0.06377008145264033
pca_1,Longitude,1686,0.27727135761602284,0.34137224371877567
pca_1,variance_mean,1725,-0.8531250547199805,-0.9632387068196154
pca_1,variance_max,1725,-0.8828974838920158,-0.9566706902060471
pca_1,read_spread_l2,1725,-0.8531250547199805,-0.961749910136369
pca_1,sem_l2_estimate,1725,-0.8531238180045889,-0.9617489578841123
pca_1,spread_to_nn_ratio,1725,-0.03720612667402228,-0.08176738972263192
pca_1,sem_to_nn_ratio,1725,-0.03720875907767216,-0.08176882995901913
pca_1,mean_norm,1725,0.8583227894968966,0.9142655963841886
pca_2,Temperature,1686,0.3140180252851276,0.10151544482635039
pca_2,Elevation,490,-0.04865854443443414,0.05690989961070078
pca_2,Depth_m,1674,-0.21206422876749953,-0.01779591852813838
pca_2,Latitude,1686,-0.05501009321863434,0.0254302298141783
pca_2,Longitude,1686,0.1641728105365675,0.16642147472661817
pca_2,variance_mean,1725,-0.41134640082506924,-0.1505612109008541
pca_2,variance_max,1725,-0.2388595193011179,-0.06120824422294916
pca_2,read_spread_l2,1725,-0.41134640082506924,-0.15508155846682806
pca_2,sem_l2_estimate,1725,-0.4113498771876157,-0.15508659900808855
pca_2,spread_to_nn_ratio,1725,-0.12059605707546735,-0.1326884454420746
pca_2,sem_to_nn_ratio,1725,-0.12059842296578145,-0.13268907300087757
pca_2,mean_norm,1725,0.29427038175346837,0.016178285122124304
pcoa_1,Temperature,1686,0.33115190919224585,0.24344302099557683
pcoa_1,Elevation,490,-0.03250099456492995,0.04594948542180024
pcoa_1,Depth_m,1674,0.2604932587827222,0.03945358375280315
pcoa_1,Latitude,1686,-0.17363223835963124,-0.11105761139816886
pcoa_1,Longitude,1686,0.0076659305725883635,-0.020174018699282977
pcoa_1,variance_mean,1725,0.05424174793472621,0.17785380968605857
pcoa_1,variance_max,1725,0.052194009084130424,0.1995322224632278
pcoa_1,read_spread_l2,1725,0.05424174793472621,0.17127483763361404
pcoa_1,sem_l2_estimate,1725,0.05423864796382059,0.1712737030743003
pcoa_1,spread_to_nn_ratio,1725,0.05045645668883598,0.021464676862700094
pcoa_1,sem_to_nn_ratio,1725,0.05045573429742585,0.021464709153529583
pcoa_1,mean_norm,1725,-0.031641795790234836,-0.1468872380194398
pcoa_2,Temperature,1686,0.16333180972948927,0.05018078967089088
pcoa_2,Elevation,490,-0.08362757968820432,0.0100613391760168
pcoa_2,Depth_m,1674,-0.7305040607941159,-0.20090569466445898
pcoa_2,Latitude,1686,-0.01879383418786721,0.06043366550641373
pcoa_2,Longitude,1686,0.27725247760174315,0.3429600860756916
pcoa_2,variance_mean,1725,-0.8528504033761163,-0.9634646166365542
pcoa_2,variance_max,1725,-0.8825906872993188,-0.9568649692196873
pcoa_2,read_spread_l2,1725,-0.8528504033761163,-0.9621183415531391
pcoa_2,sem_l2_estimate,1725,-0.8528489305392606,-0.9621173817493305
pcoa_2,spread_to_nn_ratio,1725,-0.03811782203899301,-0.08082873530401849
pcoa_2,sem_to_nn_ratio,1725,-0.03812028144275826,-0.08083017784120625
pcoa_2,mean_norm,1725,0.8580306277593044,0.9151173273250628
umap_1,Temperature,1686,-0.1797643614339278,-0.10552037364863615
umap_1,Elevation,490,0.07899336702784342,-0.006667840233837208
umap_1,Depth_m,1674,-0.7011212278812923,-0.23079488020033048
umap_1,Latitude,1686,0.2537705677151548,0.18499090035689233
umap_1,Longitude,1686,-0.008822101080999015,0.18892106746940618
umap_1,variance_mean,1725,-0.6098582978985541,-0.8554914258594433
umap_1,variance_max,1725,-0.6195888026526026,-0.85954631082008
umap_1,read_spread_l2,1725,-0.6098582978985541,-0.8489184795743616
umap_1,sem_l2_estimate,1725,-0.6098601915459397,-0.8489171560288244
umap_1,spread_to_nn_ratio,1725,-0.12165669131408492,-0.1267194602503799
umap_1,sem_to_nn_ratio,1725,-0.12165978193364543,-0.12672063305869688
umap_1,mean_norm,1725,0.626397750814473,0.8159486171189075
umap_2,Temperature,1686,-0.056286722299725214,0.03577617148637899
umap_2,Elevation,490,0.06600633118935881,-0.01502032263180963
umap_2,Depth_m,1674,0.5495836672868191,0.07681635864804762
umap_2,Latitude,1686,-0.10499946203738078,-0.11732780089112317
umap_2,Longitude,1686,-0.2843628412183248,-0.36420113911845997
umap_2,variance_mean,1725,0.655477708205069,0.6854613532531328
umap_2,variance_max,1725,0.5215061182928793,0.604333878878387
umap_2,read_spread_l2,1725,0.655477708205069,0.6881689566714492
umap_2,sem_l2_estimate,1725,0.6554801535818165,0.688171077872889
umap_2,spread_to_nn_ratio,1725,0.21209118403108204,0.21095185411874037
umap_2,sem_to_nn_ratio,1725,0.21209410866426676,0.21095310200747372
umap_2,mean_norm,1725,-0.5126441314055692,-0.5253416244867929
