epoch,step,test_mse,test_mse_Temperature,train_mse,val_mse,val_mse_Temperature
0,49,,,48.574859619140625,,
0,99,,,40.78579330444336,,
0,149,,,40.016441345214844,,
0,199,,,32.24808883666992,,
0,249,,,31.230459213256836,,
0,299,,,26.10572624206543,,
0,349,,,28.47928237915039,,
0,399,,,25.072267532348633,,
0,449,,,37.427940368652344,,
0,499,,,27.342853546142578,,
0,526,,,,27.264802932739258,27.264802932739258
1,549,,,26.021114349365234,,
1,599,,,32.65101623535156,,
1,649,,,33.44682312011719,,
1,699,,,31.467578887939453,,
1,749,,,26.519912719726562,,
1,799,,,28.774322509765625,,
1,849,,,28.84819793701172,,
1,899,,,28.858545303344727,,
1,949,,,23.086734771728516,,
1,999,,,32.006553649902344,,
1,1049,,,27.511314392089844,,
1,1053,,,,24.637815475463867,24.637815475463867
2,1099,,,27.762840270996094,,
2,1149,,,28.71332550048828,,
2,1199,,,25.714723587036133,,
2,1249,,,24.15847396850586,,
2,1299,,,23.073040008544922,,
2,1349,,,25.269763946533203,,
2,1399,,,29.505516052246094,,
2,1449,,,26.36011505126953,,
2,1499,,,24.28622817993164,,
2,1549,,,22.449771881103516,,
2,1580,,,,23.318212509155273,23.318212509155273
3,1599,,,26.084251403808594,,
3,1649,,,23.120492935180664,,
3,1699,,,20.758188247680664,,
3,1749,,,26.37563705444336,,
3,1799,,,21.773956298828125,,
3,1849,,,25.550567626953125,,
3,1899,,,28.106496810913086,,
3,1949,,,21.55415916442871,,
3,1999,,,22.494747161865234,,
3,2049,,,26.915157318115234,,
3,2099,,,18.741004943847656,,
3,2107,,,,22.431121826171875,22.431121826171875
4,2149,,,23.350313186645508,,
4,2199,,,20.910369873046875,,
4,2249,,,21.181320190429688,,
4,2299,,,24.390148162841797,,
4,2349,,,24.54473876953125,,
4,2399,,,21.701454162597656,,
4,2449,,,23.874099731445312,,
4,2499,,,24.378408432006836,,
4,2549,,,21.81515884399414,,
4,2599,,,21.863922119140625,,
4,2634,,,,24.272499084472656,24.272499084472656
5,2649,,,20.22234344482422,,
5,2699,,,18.413408279418945,,
5,2749,,,20.563720703125,,
5,2799,,,17.509174346923828,,
5,2849,,,20.03296661376953,,
5,2899,,,19.340009689331055,,
5,2949,,,18.943851470947266,,
5,2999,,,21.31097412109375,,
5,3049,,,22.64970588684082,,
5,3099,,,23.09380340576172,,
5,3149,,,19.236183166503906,,
5,3161,,,,23.436758041381836,23.436758041381836
6,3199,,,18.506208419799805,,
6,3249,,,20.951814651489258,,
6,3299,,,23.78155517578125,,
6,3349,,,20.211307525634766,,
6,3399,,,21.919918060302734,,
6,3449,,,22.474197387695312,,
6,3499,,,19.526742935180664,,
6,3549,,,19.954538345336914,,
6,3599,,,21.952882766723633,,
6,3649,,,22.382631301879883,,
6,3688,,,,21.338912963867188,21.338912963867188
7,3699,,,21.05902099609375,,
7,3749,,,19.059295654296875,,
7,3799,,,22.037986755371094,,
7,3849,,,18.83083724975586,,
7,3899,,,20.59221839904785,,
7,3949,,,19.6042423248291,,
7,3999,,,21.60822868347168,,
7,4049,,,14.878778457641602,,
7,4099,,,23.220212936401367,,
7,4149,,,20.079612731933594,,
7,4199,,,21.949024200439453,,
7,4215,,,,21.492395401000977,21.492395401000977
8,4249,,,20.46428680419922,,
8,4299,,,18.597787857055664,,
8,4349,,,17.144519805908203,,
8,4399,,,19.190914154052734,,
8,4449,,,19.365081787109375,,
8,4499,,,20.476810455322266,,
8,4549,,,19.203535079956055,,
8,4599,,,21.88301658630371,,
8,4649,,,23.172100067138672,,
8,4699,,,19.2506046295166,,
8,4742,,,,21.336870193481445,21.336870193481445
9,4749,,,19.795429229736328,,
